Gene,Info
PKA1H_050015200,
PKA1H_140035100,
PKA1H_020014800,
PKA1H_100015100,
PKA1H_010012400,
PKA1H_140035100,
PKA1H_140043100,
PKA1H_130009000,
PKA1H_030020900,
PKA1H_120062400,
PKA1H_020009000,
PKA1H_080023900,
PKA1H_100028800,
PKA1H_110053900,
PKA1H_060027000,
PKA1H_090016400,
PKA1H_130016600,
PKA1H_140038500,
PKA1H_140026400,
PKA1H_120035800,
PKA1H_000005200,
PKA1H_140077400,
