Gene,Info
PF3D7_0810800,
PF3D7_0104300,
PF3D7_0417200,
PF3D7_0523000,
PF3D7_0709000,
PF3D7_1218300,
PF3D7_1204400,
PF3D7_1318100,
PF3D7_1343700,
PF3D7_1460900,
PF3D7_0109800,
PF3D7_0321900,
PF3D7_0509800,
PF3D7_0603300,
PF3D7_1036800,
PF3D7_1113300,
PF3D7_1211900,
PF3D7_1213800,
PF3D7_1320600,
PF3D7_1451100,
PF3D7_MIT02300,
PF3D7_1251200,
PF3D7_1246300,
PF3D7_1138700,
PF3D7_0813000,
PF3D7_1025000,
PF3D7_1438400,
