accession,species
Plasmodium_falciparum,Plasmodium falciparum
Plasmodium_vivax,Plasmodium vivax
Plasmodium_knowlesi,Plasmodium knowlesi
Plasmodium_ovale,Plasmodium ovale
Plasmodium_malariae,Plasmodium malariae
