Gene,Info
PmUG01_02019300,
PmUG01_05034700,
PmUG01_10021600,
PmUG01_01020700,
PmUG01_14045500,
PmUG01_14053100,
PmUG01_13014600,
PmUG01_14034800,
PmUG01_12021200,
PmUG01_12056000,
PmUG01_02014200,
PmUG01_08034200,
PmUG01_06015100,
PmUG01_11059500,
PmUG01_10047600,
PmUG01_09022700,
PmUG01_13021900,
PmUG01_14048600,
PmUG01_12024200,
PmUG01_12065900,
PmUG01_MIT001100,
PmUG01_14084400,
