Gene,Info
PVP01_0210400,
PVP01_0526600,
PVP01_1010900,
PVP01_0109300,
PVP01_1429500,
PVP01_1437100,
PVP01_1303600,
PVP01_1419000,
PVP01_1211100,
PVP01_1245900,
PVP01_0205300,
PVP01_0818300,
PVP01_1024200,
PVP01_1145600,
PVP01_0621200,
PVP01_0914100,
PVP01_1311100,
PVP01_1432600,
PVP01_1421400,
PVP01_1255900,
PVP01_MIT03400,
PVP01_1468300,
