Gene,Info
PocGH01_02017600,
PocGH01_05028400,
PocGH01_10018700,
PocGH01_01016900,
PocGH01_14036800,
PocGH01_14044500,
PocGH01_13014400,
PocGH01_14026200,
PocGH01_12019400,
PocGH01_12053900,
PocGH01_02012500,
PocGH01_08026600,
PocGH01_10031700,
PocGH01_11053300,
PocGH01_06029000,
PocGH01_09019600,
PocGH01_13021900,
PocGH01_14039900,
PocGH01_12022400,
PocGH01_12063800,
PocGH01_MIT000020,
PocGH01_14075700,
